Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
Oxford Metrics PLC,OMG1.L,London Stock Exchange,Software (NEC),Ordinary Share,British Penny,GB0030312788,G6748U100,3031278,"Information Technology, Software & Services, Software, Application Software","129,779,260",United Kingdom,24.66,0.00,18.11,37.71,100.00,135.80,201,59.85,8.66,0.85,15.81,18.02,3.09,0.21,6.80,23.60,33.41,3.85
Aptitude Software Group PLC,APTD.L,London Stock Exchange,Application Software,Ordinary Share,British Penny,GB00BJV2F804,G6093X105,BJV2F80,"Information Technology, Software & Services, Software, Application Software","181,733,278",United Kingdom,39.88,17.27,32.31,53.19,100.00,244.00,476,4.29,5.54,-25.62,-5.44,61.21,2.09,0.95,1.10,39.28,35.18,3.20
Braemar PLC,BRMS.L,London Stock Exchange,Marine Freight & Logistics (NEC),Ordinary Share,British Penny,GB0000600931,G1554N100,0060093,"Industrials, Transportation, Transportation Infrastructure, Marine Ports & Services","94,244,332",United Kingdom,31.12,16.50,25.52,55.95,100.00,118.00,362,18.54,9.93,102.34,-8.46,7.75,4.72,1.03,1.23,32.19,33.43,8.37
Vertu Motors PLC,VTU.L,London Stock Exchange,"Auto Vehicles, Parts & Service Retailers (NEC)",Ordinary Share,British Penny,GB00B1GK4645,G9337V109,B1GK464,"Consumer Discretionary, Retailing, Specialty Retail, Automotive Retail","309,374,894",United Kingdom,46.21,20.97,43.83,61.48,100.00,"19,814.00","6,187",7.48,1.14,3.24,7.47,9.52,3.12,3.05,1.04,30.38,5.78,89.23
Watkin Jones PLC,WJG.L,London Stock Exchange,"Real Estate Rental, Development & Operations (NEC)",Ordinary Share,British Penny,GB00BD6RF223,G94793109,BD6RF22,"Real Estate, Real Estate Management & Development, Real Estate Development","109,790,770",United Kingdom,58.07,60.14,63.99,49.54,100.00,"1,734.00",734,7.58,13.43,-17.90,2.31,3.42,16.93,1.19,2.98,74.64,70.37,2.50
Strix Group PLC,KETL.L,London Stock Exchange,Electrical Components & Equipment (NEC),Ordinary Share,British Penny,IM00BF0FMG91,G8527X107,BF0FMG9,"Information Technology, Technology Hardware & Equipment, Electronic Equipment, Instruments & Components, Electronic Components","164,976,013",Isle of Man,45.34,65.00,44.14,23.33,64.39,"6,156.00",850,45.95,24.65,-9.25,15.65,10.17,6.76,4.71,1.65,71.56,52.84,21.10
H & T Group PLC,HTGR.L,London Stock Exchange,Consumer Lending (NEC),Ordinary Share,British Penny,GB00B12RQD06,G4706E101,B12RQD0,"Financials, Diversified Financials, Consumer Finance","232,368,460",United Kingdom,15.65,0.75,27.52,5.26,100.00,"1,093.47",963,9.09,11.82,7.39,7.39,10.74,3.84,0.29,11.01,23.95,15.69,15.12
Tracsis PLC,TRCS.L,London Stock Exchange,Software (NEC),Ordinary Share,British Penny,GB00B28HSF71,G90029102,B28HSF7,"Information Technology, Software & Services, Software, Application Software","276,803,467",United Kingdom,55.47,33.20,48.64,68.03,100.00,918.00,956,2.48,5.58,-17.55,7.39,94.43,0.28,0.79,1.07,21.40,27.18,5.49
Videndum PLC,VIDV.L,London Stock Exchange,Photographic Equipment,Ordinary Share,British Penny,GB0009296665,G93682105,0929666,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Consumer Electronics","190,832,728",United Kingdom,63.89,57.80,74.95,49.23,100.00,"4,240.00","1,784",14.71,10.88,25.00,5.57,6.83,12.07,1.47,1.36,68.88,75.63,13.70
Idox PLC,IDOX.L,London Stock Exchange,Enterprise Software,Ordinary Share,British Penny,GB0002998192,G4706D103,0299819,"Information Technology, Software & Services, Software, Application Software","347,462,674",United Kingdom,41.78,35.79,55.93,31.39,100.00,99.00,595,7.48,14.07,19.10,-2.09,46.97,1.45,0.93,0.94,19.36,12.68,4.50
Reach PLC,RCH.L,London Stock Exchange,Newspaper Publishing,Ordinary Share,British Penny,GB0009039941,G7464Q109,0903994,"Communication Services, Media & Entertainment, Media, Publishing","328,057,944",United Kingdom,58.47,52.91,62.11,55.52,83.33,"12,389.00","4,671",8.20,17.41,-5.30,5.70,8.11,8.74,0.97,1.02,56.62,31.43,28.83
CMC Markets PLC,CMCX.L,London Stock Exchange,Brokerage Services,Ordinary Share,British Penny,GB00B14SKR37,G22327103,B14SKR3,"Financials, Diversified Financials, Capital Markets, Investment Banking & Brokerage","345,815,816",United Kingdom,56.06,29.22,39.16,78.38,100.00,281.20,895,11.08,18.89,-3.20,-3.69,6.86,7.36,0.57,2.60,39.19,62.91,3.80
Ramsdens Holdings PLC,RFXR.L,London Stock Exchange,Investment Banking & Brokerage Services (NEC),Ordinary Share,British Penny,GB00BDR6V192,G7367X102,BDR6V19,"Financials, Diversified Financials, Consumer Finance","77,923,710",United Kingdom,35.72,7.15,34.22,45.55,100.00,992.00,693,15.74,13.35,5.10,6.40,8.27,4.80,0.63,2.79,29.26,26.47,22.70
Science Group PLC,SAGS.L,London Stock Exchange,Management Consulting Services,Ordinary Share,British Penny,GB00B39GTJ17,G7863T100,B39GTJ1,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","229,858,305",United Kingdom,29.01,11.05,37.35,30.93,100.00,349.26,410,13.50,14.86,24.68,2.59,16.34,1.23,0.63,1.85,15.48,7.29,14.33
dotDigital Group PLC,DOTD.L,London Stock Exchange,Software (NEC),Ordinary Share,British Penny,GB00B3W40C23,G2897D106,B3W40C2,"Information Technology, Software & Services, Software, Application Software","269,604,778",United Kingdom,40.41,27.93,27.18,55.55,100.00,154.20,348,16.95,22.22,10.35,12.25,18.58,1.37,0.26,4.24,39.13,38.72,3.76
Mattioli Woods PLC,MTWL.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00B0MT3Y97,G59149107,B0MT3Y9,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","340,155,255",United Kingdom,41.32,4.06,33.22,59.34,100.00,304.00,847,3.34,11.02,-13.74,9.53,35.86,5.01,0.36,1.64,17.28,18.94,0.94
Focusrite PLC,TUNE.L,London Stock Exchange,Personal Music Players,Ordinary Share,British Penny,GB00BSBMW716,G3610N108,BSBMW71,"Consumer Discretionary, Consumer Durables & Apparel, Household Durables, Consumer Electronics","341,885,043",United Kingdom,27.88,42.82,15.69,37.16,100.00,429.27,524,23.53,16.09,22.51,17.32,13.91,1.33,0.69,1.66,36.88,45.98,14.63
Luceco PLC,LUCEL.L,London Stock Exchange,Electrical Components & Equipment (NEC),Ordinary Share,British Penny,GB00BZC0LP49,G5695Q104,BZC0LP4,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment","239,421,873",United Kingdom,23.60,8.73,8.93,60.67,100.00,"1,164.00","1,642",12.69,9.69,12.35,41.88,15.52,3.80,1.05,1.99,48.38,21.81,90.97
Brooks Macdonald Group PLC,BRK.L,London Stock Exchange,Investment Management & Fund Operators (NEC),Ordinary Share,British Penny,GB00B067N833,G1618Y100,B067N83,"Financials, Diversified Financials, Capital Markets, Asset Management & Custody Banks","323,135,460",United Kingdom,44.51,20.38,35.20,59.62,100.00,134.70,454,11.53,17.30,22.84,9.80,13.96,4.69,0.24,3.18,32.74,30.43,12.21
iomart group PLC,IOMG.L,London Stock Exchange,Online Services (NEC),Ordinary Share,British Penny,GB0004281639,G49330106,0428163,"Information Technology, Software & Services, IT Services, Internet Services & Infrastructure","216,137,216",United Kingdom,58.58,19.57,45.29,81.73,100.00,"12,313.00",395,5.80,10.67,-11.01,-5.40,24.62,3.46,0.81,1.03,38.09,18.90,44.04
Robert Walters PLC,RWA.L,London Stock Exchange,Employment Services (NEC),Ordinary Share,British Penny,GB0008475088,G7608T118,0847508,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","343,975,045",United Kingdom,53.35,45.48,54.22,57.74,100.00,"1,682.00","3,484",21.26,5.29,5.55,14.29,10.60,6.07,1.58,1.52,43.69,37.58,11.85
Begbies Traynor Group PLC,BEG.L,London Stock Exchange,Business Support Services (NEC),Ordinary Share,British Penny,GB00B0305S97,G1145D108,B0305S9,"Industrials, Commercial & Professional Services, Professional Services, Research & Consulting Services","211,590,055",United Kingdom,28.77,24.16,18.03,45.71,100.00,357.00,"1,000",3.45,12.80,7.89,9.63,58.31,3.47,0.80,1.37,28.51,27.33,3.79
Hargreaves Services PLC,HASE.L,London Stock Exchange,Freight Logistics,Ordinary Share,British Penny,GB00B0MTC970,G4394K104,B0MTC97,"Energy, Oil, Gas & Consumable Fuels, Coal & Consumable Fuels","170,031,144",United Kingdom,42.18,23.44,50.38,54.00,100.00,"19,782.00","1,230",13.87,3.47,86.13,23.87,4.93,4.96,0.52,1.87,33.23,13.67,38.44
Zotefoams PLC,ZTF.L,London Stock Exchange,Commodity Chemicals (NEC),Ordinary Share,British Penny,GB0009896605,G98933107,0989660,"Materials, Chemicals, Commodity Chemicals","181,222,947",United Kingdom,43.36,42.73,39.99,50.17,100.00,"12,961.00",496,9.13,10.94,8.51,2.78,13.30,2.28,0.56,1.25,40.00,27.23,29.61
Eurocell PLC,ECEL.L,London Stock Exchange,Doors & Window Frames,Ordinary Share,British Penny,GB00BVV2KN49,G3143F101,BVV2KN4,"Industrials, Capital Goods, Building Products","154,922,550",United Kingdom,40.78,38.50,42.18,41.54,66.67,"17,667.00","2,143",17.15,7.63,0.04,3.52,10.15,8.18,1.21,1.91,29.33,33.78,13.87
International Personal Finance PLC,IPF.L,London Stock Exchange,Consumer Lending (NEC),Ordinary Share,British Penny,GB00B1YKG049,G4906Q102,B1YKG04,"Financials, Diversified Financials, Consumer Finance","346,963,405",United Kingdom,57.50,21.13,60.99,67.22,100.00,"21,457.00","5,842",12.76,12.24,4.85,-5.80,6.19,7.62,1.63,3.19,40.56,6.32,100.72
Cohort PLC,CHRT.L,London Stock Exchange,IT Services & Consulting (NEC),Ordinary Share,British Penny,GB00B0YD2B94,G2372R109,B0YD2B9,"Industrials, Capital Goods, Aerospace & Defense","251,940,068",United Kingdom,37.97,12.75,47.27,37.52,100.00,677.51,"1,050",11.70,8.35,8.06,10.32,17.73,2.71,1.14,1.86,36.79,11.70,28.78
Norcros PLC,NXR.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,British Penny,GB00BYYJL418,G65744180,BYYJL41,"Industrials, Capital Goods, Building Products","164,510,039",United Kingdom,64.74,65.21,62.53,67.57,100.00,"72,460.00","2,400",7.98,8.96,5.67,5.51,7.85,6.80,1.11,1.92,37.84,34.14,6.76
